Title,Authors,KU_Availability
Gods of Jade and Shadow,Silvia Moreno-Garcia,Not Available
Barbarian's Heart,Ruby Dixon,Available
The Dragon and the Pearl,Jeannie Lin,Available
Kings of the Wyld,Nicholas Eames,Not Available
Bonded to the Beast,Sarah Spade,Available
The Winter Ghosts,Kate Mosse,Not Available
Witch King,Martha Wells,Not Available
"The Myth of Normal: Trauma, Illness, and Healing in a Toxic Culture",Gabor Maté,Not Available
The Red Tent,Anita Diamant,Available
Masters of Death,Olivie Blake,Not Available
Dark Horse,Michelle Diener,Available
Pure Color,Sheila Heti,Not Available
Wyrd Sisters: The Play,Terry Pratchett,Not Available
The Poppy War,R.F. Kuang,Not Available
The Boatman's Daughter,Andy Davidson,Available
I Am Legend,Richard Matheson,Available
Romancing Rem'eb,Ruby Dixon,Available
Angels Before Man,Rafael Nicolás,Not Available
A Fellowship of Librarians & Dragons,J. Penner,Available
You Had Me At Hello,Mhairi McFarlane,Not Available
Feed Them Silence,Lee Mandelo,Not Available
Slewfoot: A Tale of Bewitchery,Brom,Available
The Bluest Eye,Toni Morrison,Not Available
Throne in the Dark,A.K. Caggiano,Not Available
Children of Time,Adrian Tchaikovsky,Not Available
Thrum,Meg Smitherman,Available
Six Scorched Roses,Carissa Broadbent,Available
The Mountain's Mate,Sara Ivy Hill,Available
Between Two Fires,Christopher Buehlman,Not Available
A Month in the Country,J.L. Carr,Not Available
Alien Protector's Mate,Melissa Emerald,Available
The Stars Undying,Emery Robin,Available
We'll Prescribe You a Cat,Syou Ishida,Not Available
Elder Race,Adrian Tchaikovsky,Available
Toxic Medication : Volume I,Danielle Stoian,Available
The Candles Are Burning,Veronica G. Henry,Available
The Reddening,Adam L.G. Nevill,Not Available
How to Be an Antiracist,Ibram X. Kendi,Not Available
Velocity Weapon,Megan E. O'Keefe,Available
How to Become the Dark Lord and Die Trying,Django Wexler,Not Available
Ready or Not,Cara Bastone,Not Available
In the Care of Magic,Robin Jo Margaret,Available
The Sleeping Soldier,Aster Glenn Gray,Available
The Lion Women of Tehran,Marjan Kamali,Not Available
Deceived by the Gargoyles,Lillian Lark,Available
The Valkyrie's Daughter,Tiana Warner,Available
Any Duke in a Storm,Amalie Howard,Not Available
A Spindle Splintered,Alix E. Harrow,Available
Calamity,Rachel Ní Chuirc,Available
Lovelight Farms,B.K. Borison,Not Available
Black Bridge: Book 1,Joe O'Hagan,Available
Dungeon Crawler Carl,Matt Dinniman,Available
Unsouled,Will Wight,Available
Blood Orange,Karina Halle,Available
That Kind of Guy,Talia Hibbert,Not Available
The Sunlit Man,Brandon Sanderson,Not Available
Untitled Mead Mishaps,Kimberly Lemming,Available
Lore of the Wilds,Analeigh Sbrana,Not Available
Flowers from the Storm,Laura Kinsale,Not Available
Red Rising,Pierce Brown,Not Available
Sea Change,Gina Chung,Not Available
Fate of the Sun King,Nisha J. Tuli,Not Available
Gild,Raven Kennedy,Available
The Anatomy of Genres: How Story Forms Explain the Way the World Works,John Truby,Not Available
System Collapse,Martha Wells,Not Available
Squeak,Vera Valentine,Available
Off the Hook,Julie Olivia,Available
Love in the Time of Serial Killers,Alicia Thompson,Not Available
Good Omens,"Neil Gaiman, Terry Pratchett",Not Available
The Last Watch,J.S. Dewes,Not Available
Hell of a Bargain,B.P. Gilmore,Available
A Wizard of Earthsea,Ursula K. Le Guin,Available
The Long Ships,Frans G. Bengtsson,Not Available
La Ciguapa: A Dominican Horror Folklore,Luna K. Wicked,Available
Desire in His Blood,Zoey Draven,Available
