Title,Authors
And Then I Woke Up,Malcolm Devlin
The Priory of the Orange Tree,Samantha Shannon
"Deep as the Sky, Red as the Sea",Rita Chang-Eppig
The Shadow of the Gods,John Gwynne
Gods of Jade and Shadow,Silvia Moreno-Garcia
Barbarian's Heart,Ruby Dixon
The Dragon and the Pearl,Jeannie Lin
The Spear Cuts Through Water,Simon Jimenez
Flatland: A Romance of Many Dimensions,Edwin A. Abbott
The Hitchhiker's Guide to the Galaxy,Douglas Adams
The Cabinet,Un-su Kim
Piranesi,Susanna Clarke
The Crown of Gilded Bones,Jennifer L. Armentrout
Kings of the Wyld,Nicholas Eames
Bonded to the Beast,Sarah Spade
The Land of Open Graves: Living and Dying on the Migrant Trail,Jason De León
Foundryside,Robert Jackson Bennett
The Left Hand of Darkness,Ursula K. Le Guin
The Winter Ghosts,Kate Mosse
Witch King,Martha Wells
"The Myth of Normal: Trauma, Illness, and Healing in a Toxic Culture",Gabor Maté
The Red Tent,Anita Diamant
Assassin's Apprentice,Robin Hobb
A Certain Hunger,Chelsea G. Summers
Where the Dark Stands Still,A.B. Poranek
Lizards Hold the Sun,Dani Trujillo
The Black Angels: The Untold Story of the Nurses Who Helped Cure Tuberculosis,Maria Smilios
Masters of Death,Olivie Blake
Even Though I Knew the End,C.L. Polk
Parable of the Sower,Octavia E. Butler
Dark Horse,Michelle Diener
"Woman, Eating",Claire Kohda
Pure Color,Sheila Heti
Wyrd Sisters: The Play,Terry Pratchett
Vladimir,Julia May Jonas
The Poppy War,R.F. Kuang
The Boatman's Daughter,Andy Davidson
I Am Legend,Richard Matheson
Romancing Rem'eb,Ruby Dixon
The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,Timothy Egan
Angels Before Man,Rafael Nicolás
Strong Towns: A Bottom-Up Revolution to Rebuild American Prosperity,Charles L. Marohn Jr.
A Fellowship of Librarians & Dragons,J. Penner
Ana María and the Fox,Liana De la Rosa
You Had Me At Hello,Mhairi McFarlane
Women Who Run with the Wolves: Myths and Stories of the Wild Woman Archetype,Clarissa Pinkola Estés
Feed Them Silence,Lee Mandelo
Slewfoot: A Tale of Bewitchery,Brom
The Lions of Al-Rassan,Guy Gavriel Kay
Bleak Midwinter: The Darkest Night,"R.A. Busby, Mason McDonald, Damon Barret Roe, K.R. Wieland, Robyn Dabney, Cassandra L. Thompson, Trevor James Zaple, Amelia Mangan, Aliya Bree Hall, Sarah Hozumi, E.M. Linden, KB Wilson"
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks
"Under the Oak Tree: Season 1, Vol. 1",Suji Kim
The Passing of the Dragon,Ken Liu
The Bluest Eye,Toni Morrison
Silver Under Nightfall,Rin Chupeco
We Do This 'til We Free Us: Abolitionist Organizing and Transforming Justice,Mariame Kaba
Throne in the Dark,A.K. Caggiano
Children of Time,Adrian Tchaikovsky
Thrum,Meg Smitherman
Lapvona,Ottessa Moshfegh
Tehanu,Ursula K. Le Guin
The Deeper the Water the Uglier the Fish,Katya Apekina
Six Scorched Roses,Carissa Broadbent
A Heart of Blood and Ashes,Milla Vane
The Mountain's Mate,Sara Ivy Hill
Between Two Fires,Christopher Buehlman
A Month in the Country,J.L. Carr
Ithaca,Claire North
The Internet Con: How to Seize the Means of Computation,Cory Doctorow
Alien Protector's Mate,Melissa Emerald
The Stars Undying,Emery Robin
A Dead Djinn in Cairo,P. Djèlí Clark
We'll Prescribe You a Cat,Syou Ishida
Laziness Does Not Exist,Devon Price
Elder Race,Adrian Tchaikovsky
Dragonsong,Anne McCaffrey
Toxic Medication : Volume I,Danielle Stoian
Fire Exit,Morgan Talty
Draco Malfoy and the Mortifying Ordeal of Being in Love,isthisselfcare
Artificial Wisdom,Thomas R. Weaver
The Candles Are Burning,Veronica G. Henry
Topaz,Beverly Jenkins
The Reddening,Adam L.G. Nevill
How to Be an Antiracist,Ibram X. Kendi
When You Had Power,Susan Kaye Quinn
Velocity Weapon,Megan E. O'Keefe
The Sorcerer of the Wildeeps,Kai Ashante Wilson
How to Become the Dark Lord and Die Trying,Django Wexler
Ready or Not,Cara Bastone
In the Care of Magic,Robin Jo Margaret
Drowned Country,Emily Tesh
The Sleeping Soldier,Aster Glenn Gray
I Who Have Never Known Men,Jacqueline Harpman
The Lion Women of Tehran,Marjan Kamali
These Burning Stars,Bethany Jacobs
The Redemption of Althalus,"David Eddings, Leigh Eddings"
Deceived by the Gargoyles,Lillian Lark
A Dangerous Invitation,Erica Monroe
The Children of Gods and Fighting Men,Shauna Lawless
The Valkyrie's Daughter,Tiana Warner
Drinking from Graveyard Wells,Yvette Lisa Ndlovu
The Practical Guide for Healing Developmental Trauma: Using the NeuroAffective Relational Model to Address Adverse Childhood Experiences and Resolve Complex Trauma,"Brad J. Kammer, Brad J. Kammer, Laurence Heller, Laurence Heller"
Any Duke in a Storm,Amalie Howard
A Spindle Splintered,Alix E. Harrow
Calamity,Rachel Ní Chuirc
Lovelight Farms,B.K. Borison
Black Bridge: Book 1,Joe O'Hagan
Lute,Jennifer Marie Thorne
Dungeon Crawler Carl,Matt Dinniman
Unsouled,Will Wight
A Crane Among Wolves,June Hur
Starling House,Alix E. Harrow
Wed to the Alien Warlord,January Bell
The Fireborne Blade,Charlotte Bond
"The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness","Ichiro Kishimi, Fumitake Koga"
All I Wanted Was to Become a Scientist But Now I've Got An Alien Boyfriend,Petra Palerno
No Bad Parts: Healing Trauma and Restoring Wholeness with the Internal Family Systems Model,Richard C. Schwartz
"The Heroine's Journey: For Writers, Readers, and Fans of Pop Culture",Gail Carriger
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Mark Wolynn
With This Ring,Amanda Quick
Accidental Saints: Finding God in All the Wrong People,Nadia Bolz-Weber
